Kellogg Company,4
AMR Corp,54
H&R Block,65
Britvic Plc,54
Essential Trading Co-operative Ltd,59
Cottontail Co,65
Aegon NV,10
Perfect Green Toners,65
Ocado Group plc,0
The White Company,61
Enterprise Inns plc,65
Geomag SA,65
Cebra,65
Liebherr-International AG,24
CL Financial Group Ltd,65
NYK Line (Nippon Yusen Kaisha),65
Dart Valley Foods Ltd,65
Koch Industries Inc,65
Natural Crisps Ltd,65
Linklaters LLP,50
Miam Ltd,65
Lexmark International Group Inc,65
Jacobson Group Ltd,33
Huawei Investment & Holding Co. Ltd,21
Mercuria Energy Group Limited,45
Accenture,65
Prémaxx,65
Goldcorp Inc,54
9055-7588 Québec Inc (FKA Bio Spectra),54
Harbingers of a New Age,65
Neutra Health,65
Mitsubishi Estate Co,65
SMART Technologies Inc,65
Organic Seed & Bean Co Ltd,71
Capespan Group Limited,65
Mio Technology Corporation,65
PC Peripherals Ltd,65
Equop Limited,65
Konica Minolta Holdings Inc,65
E.ON AG,36
The East Coast Group Ltd,65
Mountain Buggy Ltd,65
Lindex AB,65
Met SpA,65
Wacom Co Ltd,65
Pentland Group plc,24
Hull City Association Football Club (Tigers) Ltd,65
Volkswagen AG,1
Dongbu Group,41
Progosa,65
AarhusKarlshamn,65
SC Johnson & Son Inc,24
Mitsui Group,56
Bayerische Motoren Werke AG (BMW),15
Business Post Group,65
Shiseido Company Limited,30
Silverfleet Capital Limited,62
Accell Group,36
Nigel's Eco Store Ltd,65
soleRebels,66
Ferrovial SA,62
World Design and Trade Co Limited,65
Nirvana Sugars Ltd,65
Medina Holdings,50
Mattel Inc,54
ZENZEN FOOD LTD,56
Fresh Trading Limited,6
Onex Corporation,62
JC Bamford Excavators Ltd,62
"MCJ Co., Ltd.",65
BMK Handels unt Vertriebs GmbH,65
American Electric Power,59
Naty AB,33
Vegeco Ltd,71
SSE Plc,47
Kerry Co-operative Creameries Limited,65
Valley National Gases (VNG),65
Altria Group Inc,56
AMG Group Ltd,36
Bio-D Company,68
Advanced Micro Devices Inc,65
Kingfield Heath,65
Ontario Teachers' Pension Plan,0
Foster's Group Ltd,36
DP Furniture Express Ltd,65
David Halsall International Ltd,65
Avis Budget Group,65
Lanka Kade (UK) Ltd,65
[OLD] Who Made Your Pants?,65
Xcel Energy Inc.,59
Visa Inc,59
Proven Engineering Products Ltd,65
