,category_link-href,company,rating,sd_rating
2749,https://directory.goodonyou.eco/categories/suits,John Lewis,Rated : Not good enough,25
2750,https://directory.goodonyou.eco/categories/swimwear,PITUSA,Rated : Not good enough,25
2751,https://directory.goodonyou.eco/categories/dresses,Baserange,Rated : It's a start,50
2752,https://directory.goodonyou.eco/categories/denim,Basque,,-1
2753,https://directory.goodonyou.eco/categories/bags,Whistles,Rated : Not good enough,25
2754,https://directory.goodonyou.eco/categories/outerwear,Mila.Vert,Rated : Great,100
2755,https://directory.goodonyou.eco/categories/accessories,Sejour,Rated : Not Good Enough,25
2756,https://directory.goodonyou.eco/categories/bags,Macpac,,-1
2757,https://directory.goodonyou.eco/categories/bottoms,ettitude,Rated : Good,75
2758,https://directory.goodonyou.eco/categories/dresses,Pamut,Rated : Good,75
2759,https://directory.goodonyou.eco/categories/swimwear,Lululemon,Rated : Not good enough,25
2760,https://directory.goodonyou.eco/categories/swimwear,BP.,Rated : Not Good Enough,25
2761,https://directory.goodonyou.eco/categories/bags,Only Just,Rated : Good,75
2762,https://directory.goodonyou.eco/categories/denim,Abercrombie & Fitch,Rated : Not Good Enough,25
2763,https://directory.goodonyou.eco/categories/knitwear,Miakoda,Rated : Great,100
2764,https://directory.goodonyou.eco/categories/dresses,Sejour,Rated : Not Good Enough,25
2765,https://directory.goodonyou.eco/categories/tops,VOZ,Rated : Good,75
2766,https://directory.goodonyou.eco/categories/suits,Asos,Rated : It's a start,50
2767,https://directory.goodonyou.eco/categories/dresses,Martha Medeiros,Rated : It's a start,50
2768,https://directory.goodonyou.eco/categories/bottoms,Encircled,Rated : Good,75
2769,https://directory.goodonyou.eco/categories/denim,Eckhaus Latta,Rated : Not good enough,25
2770,https://directory.goodonyou.eco/categories/bottoms,Chopova Lowena,Rated : Good,75
2771,https://directory.goodonyou.eco/categories/shoes,Rothy's,Rated : Good,75
2772,https://directory.goodonyou.eco/categories/tops,Whimsy + Row,Rated : Good,75
