,directory_link-href,company,rating,sd_rating
227,http://www.corporatecritic.org/companiesatoz/Specs.aspx,Standard Chartered plc,(7),46
228,http://www.corporatecritic.org/companiesatoz/TPG.aspx,TTK Prestige Ltd,???,-1
229,http://www.corporatecritic.org/companiesatoz/Y.aspx,Yaoh Ltd,11.5,76
230,http://www.corporatecritic.org/companiesatoz/K.aspx,Kentz Corporation Ltd,14,93
231,http://www.corporatecritic.org/companiesatoz/Clove.aspx,Corriente Resources Inc,14,93
232,http://www.corporatecritic.org/companiesatoz/R.aspx,Ricoh Co. Ltd.,7,46
233,http://www.corporatecritic.org/companiesatoz/Whitt.aspx,Wyndham Worldwide Corporation,13,86
234,http://www.corporatecritic.org/companiesatoz/AMT%20C.aspx,Anglia Home Living Unlimited,???,-1
235,http://www.corporatecritic.org/companiesatoz/N.aspx,Nijjar Group Holdings,???,-1
236,http://www.corporatecritic.org/companiesatoz/F.aspx,Fitzroy Apparel Limited,???,-1
237,http://www.corporatecritic.org/companiesatoz/D.aspx,Deeside Water Co (The) Ltd,14,93
238,http://www.corporatecritic.org/companiesatoz/R.aspx,Reed Smith LLP,12.5,83
239,http://www.corporatecritic.org/companiesatoz/Lette.aspx,Logitech International SA,(14),93
240,http://www.corporatecritic.org/companiesatoz/I.aspx,International Audio Group Ltd,14,93
241,http://www.corporatecritic.org/companiesatoz/D.aspx,Darty plc,14,93
242,http://www.corporatecritic.org/companiesatoz/W.aspx,WHEB LLP,15,100
243,http://www.corporatecritic.org/companiesatoz/Hero.aspx,Hong Leong Group Malaysia,14,93
244,http://www.corporatecritic.org/companiesatoz/The%20C.aspx,The Rockefeller Foundation,13,86
245,http://www.corporatecritic.org/companiesatoz/A.aspx,Abena Holding A/S,7.5,50
246,http://www.corporatecritic.org/companiesatoz/K.aspx,Kimberly-Clark Corp,6.5,43
247,http://www.corporatecritic.org/companiesatoz/Europ.aspx,EWE AG,14,93
248,http://www.corporatecritic.org/companiesatoz/D.aspx,Datang Technology & Industry Group,13,86
249,http://www.corporatecritic.org/companiesatoz/Mio%20T.aspx,Morning Foods Ltd,11,73
250,http://www.corporatecritic.org/companiesatoz/RISO%20.aspx,RWE Aktiengesellschaft,9.5,63
251,http://www.corporatecritic.org/companiesatoz/Scott.aspx,Seagate Technology PLC,14,93
252,http://www.corporatecritic.org/companiesatoz/R.aspx,Ravenheat Holdings,10,66
253,http://www.corporatecritic.org/companiesatoz/Caurn.aspx,Churchtown Farm,14,93
254,http://www.corporatecritic.org/companiesatoz/Specs.aspx,Stagecoach Group plc,9,60
255,http://www.corporatecritic.org/companiesatoz/Z.aspx,Zorlu Holding A.S.,8,53
256,http://www.corporatecritic.org/companiesatoz/Asda%20.aspx,AT Holdings,14,93
257,http://www.corporatecritic.org/companiesatoz/D.aspx,Danske Bank A/S,(4),26
258,http://www.corporatecritic.org/companiesatoz/Specs.aspx,Sunshine Snacks,14,93
259,http://www.corporatecritic.org/companiesatoz/Bellw.aspx,Binomial Group Ltd,14,93
260,http://www.corporatecritic.org/companiesatoz/Agnat.aspx,Alfred Ritter GmbH & Co. KG,9.5,63
261,http://www.corporatecritic.org/companiesatoz/V.aspx,Valensina GmbH,???,-1
262,http://www.corporatecritic.org/companiesatoz/Y.aspx,Yokozuna Ltd,13,86
263,http://www.corporatecritic.org/companiesatoz/E.aspx,Edimax Technology Co,14,93
264,http://www.corporatecritic.org/companiesatoz/H.aspx,Hens teeth Ltd,14,93
265,http://www.corporatecritic.org/companiesatoz/AMT%20C.aspx,Apollo Global Management,6.5,43
266,http://www.corporatecritic.org/companiesatoz/V.aspx,Vinceremos,14,93
267,http://www.corporatecritic.org/companiesatoz/D.aspx,De-Vau-Ge Gesundkostwerk GmbH,14,93
268,http://www.corporatecritic.org/companiesatoz/A.aspx,ACCO Brands Corporation,14,93
269,http://www.corporatecritic.org/companiesatoz/A.aspx,Against the Grain Ltd,15,100
270,http://www.corporatecritic.org/companiesatoz/Clove.aspx,Commonwealth Bank of Australia (Commonwealth Bank Group),12.5,83
271,http://www.corporatecritic.org/companiesatoz/AMT%20C.aspx,Annie Greenabelle,11,73
272,http://www.corporatecritic.org/companiesatoz/Caurn.aspx,Christian Dior SA,3,20
273,http://www.corporatecritic.org/companiesatoz/K.aspx,Konstar Industries Ltd,14,93
274,http://www.corporatecritic.org/companiesatoz/Y.aspx,Yasuda International Limited,14,93
275,http://www.corporatecritic.org/companiesatoz/P.aspx,Pertwood Organic Cereal Company,14,93
276,http://www.corporatecritic.org/companiesatoz/Asda%20.aspx,Aviva Plc,8.5,56
277,http://www.corporatecritic.org/companiesatoz/I.aspx,International Business Machines (IBM) Corporation,5.5,36
278,http://www.corporatecritic.org/companiesatoz/%C3%89.aspx,Edimax Technology Co,14,93
279,http://www.corporatecritic.org/companiesatoz/BMK%20H.aspx,Books Etc,10,66
280,http://www.corporatecritic.org/companiesatoz/Maya.aspx,Maya,14,93
281,http://www.corporatecritic.org/companiesatoz/G.aspx,Gemfields plc,11,73
282,http://www.corporatecritic.org/companiesatoz/Agnat.aspx,Alphabet Inc,8,53
283,http://www.corporatecritic.org/companiesatoz/T.aspx,TC Group,14,93
284,http://www.corporatecritic.org/companiesatoz/BMK%20H.aspx,Breville Group,(???),-1
285,http://www.corporatecritic.org/companiesatoz/Group.aspx,Groupe Hamelin,14,93
286,http://www.corporatecritic.org/companiesatoz/RISO%20.aspx,Royal Dutch Shell plc,3,20
287,http://www.corporatecritic.org/companiesatoz/S.aspx,Schneider Electric,13,86
288,http://www.corporatecritic.org/companiesatoz/%C3%89.aspx,Ebac Foundation,11,73
289,http://www.corporatecritic.org/companiesatoz/BMK%20H.aspx,Bodum AG,9,60
290,http://www.corporatecritic.org/companiesatoz/G.aspx,Gilda & Pearl Ltd,14,93
291,http://www.corporatecritic.org/companiesatoz/P.aspx,Phil & Ted's,14,93
292,http://www.corporatecritic.org/companiesatoz/P.aspx,Paul Reed Smith Guitars,14,93
293,http://www.corporatecritic.org/companiesatoz/W.aspx,Weleda AG,(13),86
294,http://www.corporatecritic.org/companiesatoz/K.aspx,K2 Inc,14,93
295,http://www.corporatecritic.org/companiesatoz/Briti.aspx,British American Tobacco,11.5,76
296,http://www.corporatecritic.org/companiesatoz/Delta.aspx,Delta Air Lines Inc,11.5,76
297,http://www.corporatecritic.org/companiesatoz/Agnat.aspx,Aleutia Limited,14,93
298,http://www.corporatecritic.org/companiesatoz/%C3%89.aspx,Emil Vertriebs-GmbH,14,93
299,http://www.corporatecritic.org/companiesatoz/Clove.aspx,Costa Rica Coffee Co Ltd,14,93
300,http://www.corporatecritic.org/companiesatoz/Hero.aspx,Hodmedod Ltd,???,-1
301,http://www.corporatecritic.org/companiesatoz/Glen%20.aspx,Gordon-Smith Guitars,14,93
302,http://www.corporatecritic.org/companiesatoz/P.aspx,"Petty, Wood & Co Ltd",14,93
303,http://www.corporatecritic.org/companiesatoz/Group.aspx,Groupe Danone,4,26
304,http://www.corporatecritic.org/companiesatoz/Delta.aspx,Doughty Hanson & Co Ltd,14,93
305,http://www.corporatecritic.org/companiesatoz/E.aspx,Errea Sport SpA,14,93
